하천명,시점위치(위도),시점위치(경도),종점위치(위도),종점위치(경도)
성동천,36.9920674,127.7853259,36.9856649,127.7880755
성지골천,36.9422401,127.7730438,36.9490374,127.7804497
세포천,37.1449691,127.8313763,37.1518829,127.832771
소가주천,36.9327285,127.88392,36.9390372,127.889616
소남천,37.0374356,127.7813394,37.0407931,127.7842813
소모천천,37.0420935,127.9798511,37.0367278,127.9735698
소용천,36.9290253,127.8621406,36.9395222,127.8612041
소일천,36.9875455,127.863706,37.0013361,127.8745575
솔밭말천,37.1328588,127.8763704,37.1283103,127.8772127
송정천,36.8781447,128.0442199,36.8858626,128.0391994
쇠죽골천,37.0204163,127.8510117,37.0255294,127.8451533
수롱골천,37.1749307,127.7141797,37.1699496,127.7283439
수룡천,36.9872192,127.9282976,36.9872192,127.9282976
수월천,37.003024,127.6593964,36.9977339,127.6648364
수주천,36.9209311,127.8447599,36.8945508,127.8967666
수철천,36.9099859,128.2150584,36.9042998,128.2084378
수현천,36.9243779,127.8724112,36.9128865,127.867196
수회천,37.0519651,127.96244,37.0493587,127.9577441
숭선천,37.0266049,127.7073119,37.0111563,127.7029696
신단천,37.0292357,127.7186521,37.0220829,127.7096482
신담천,37.0720206,128.0058358,37.0723612,128.0139987
신대천,37.0609323,127.8560287,37.0785068,127.8391744
신의실천,37.0140209,127.7365256,37.0108379,127.7336331
신청천,37.0289767,127.7343016,37.0080013,127.7189486
