지역,발생건수,위도,경도,도로등급구분코드
경기 용인시 처인구,1,37.16217601190139,127.25162869878874,103
화성,1,37.11931361235771,126.89072044815578,103
경기 광주시,1,37.41322879023176,127.24814966266706,103
경북 구미시,1,36.09785352334402,128.43051809773118,103
경기 하남시,1,37.529713746327765,127.20065093864082,103
경기 하남시,1,37.54235121148887,127.20698329166083,103
천안,1,36.89298356234072,127.09415147755296,103
충남 아산시,1,36.89420559246811,127.09167946029756,103
인천 미추홀구,1,37.44502005411701,126.66939957590786,103
경기 이천시,1,37.12429837411518,127.6160667528056,103
울산 울주군,1,35.549515724638425,129.16113148710957,103
강원 속초시,1,38.20349127907858,128.59121746657524,103
인천 중구,1,37.45135189392231,126.62876447702318,103
화성,1,37.17580835980918,126.98057126370416,103
서울 도봉구,1,37.649307315380646,127.03791336815442,103
부산 사상구,1,35.16794627088749,128.98160339478736,103
서울 강동구,1,37.56279237453535,127.16362581575846,103
경북 구미시,1,36.10382413045951,128.38202252541686,103
경북 구미시,1,36.10440739262162,128.38193918351868,103
경북 구미시,1,36.1049906563323,128.3819391670541,103
경북 구미시,1,36.10565724342965,128.38193914823685,103
경북 구미시,1,36.106268282118045,128.38196690613177,103
경북 구미시,1,36.10682377136491,128.38196689044975,103
충남 아산시,1,36.77635750112429,127.02266160206857,103
서울 영등포구,1,37.519237227727714,126.89304232978547,103
경북 구미시,1,36.10762923180488,128.38202241799928,103
경북 구미시,1,36.10679599741895,128.38199466637852,103
경북 구미시,1,36.106240508172064,128.3819946820605,103
경북 구미시,1,36.10565724446238,128.38199469852614,103
경북 구미시,1,36.104962882902605,128.38199471812743,103
경북 구미시,1,36.10440739365431,128.38199473380803,103
경북 구미시,1,36.10371303157703,128.3819669782634,103
경북 칠곡군,1,35.97483937846776,128.37463796509772,103
세종특별자치시 세종시,1,36.44206917392731,127.28611763970147,103
인천 연수구,1,37.40460810951775,126.65795737634706,103
인천 남동구,1,37.41949681078512,126.7493924859892,103
화성,1,37.13903294833165,126.86308369388378,103
부산 서구,1,35.095150010862575,129.02051844314843,103
울산 울주군,1,35.55560008715232,129.25320603108196,103
울산 울주군,1,35.571653281435395,129.22884674194162,103
대구 동구,1,35.98956624882768,128.7176051241268,103
인천 서구,1,37.61841592802729,126.68980937762733,103
서울 종로구,1,37.572010145941846,126.98036564244411,103
경기 고양시 덕양구,1,37.683577489754434,126.84887530388698,103
당진,1,36.87956335779553,126.80373548894735,103
경기 여주시,1,37.37857159605848,127.53484505380072,103
서울 금천구,1,37.470965308279865,126.89165494305745,103
화성,1,37.05106975586015,126.77031735336617,103
경남 양산시,1,35.3278727418513,129.0287056658254,103
천안,1,36.917483248484,127.24169209952976,103
서울 중구,1,37.56523335624678,126.98930940772308,103
충북 영동군,1,36.17241592740254,127.77691145658449,103
충남 아산시,1,36.80782698225213,127.08229386804824,103
충남 아산시,1,36.82040885110411,127.08545988162012,103
충남 아산시,1,36.82849132682963,127.09215345647527,103
천안,1,36.86365395295133,127.10398467409924,103
충남 홍성군,1,36.619426522275376,126.711001507582,103
천안,1,36.86809780424575,127.10087374031512,103
경남 양산시,1,35.36295224692729,129.04531424434342,103
경기 광주시,1,37.407423984216166,127.25053848575872,103
경기 이천시,1,37.20964615939752,127.45363556504958,103
경북 경산시,1,35.89363475168526,128.7991279398168,103
경기 의정부시,1,37.75757190045438,127.03932677848844,103
대구 수성구,1,35.86480156297704,128.62400638228604,103
경기 파주시,1,37.745903347591245,126.85662276498904,103
천안,1,36.80046707273132,127.09976460730113,103
경기 수원시 권선구,1,37.24891078991107,126.9916236961364,103
전북 완주군,1,35.91760067876153,127.07979037161016,103
충남 예산군,1,36.72730340292056,126.7696595969841,103
부산 기장군,1,35.28007590362196,129.19258059241616,103
경기 연천군,1,38.01234507691514,126.97302032513656,103
경남 김해시,1,35.328950838654016,128.754647937721,103
충남 홍성군,1,36.54157121243743,126.50371804342235,103
충남 예산군,1,36.54993603687458,126.775386053698,103
경기 수원시 장안구,1,37.300570949382646,126.97892903230446,103
당진,1,36.94957889850844,126.59030981795384,103
인천 미추홀구,1,37.43299312643976,126.63470885341462,103
인천 연수구,1,37.42996573346142,126.6355977399826,103
인천 연수구,1,37.42888253659855,126.63584774579164,103
